Date,Log Stock Price,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close,Log Total Asset,Currency in Circulation/Total Asset,Unemployment Rate
1/31/2000,7.240262523,594.68,0,5.45,1394.46,0,0,4.1
2/29/2000,7.21994946,566.14,0,5.73,1366.42,0,0,4
3/31/2000,7.312273272,563.71,0,5.85,1498.58,0,0,3.8
4/30/2000,7.280993295,564.73,0,6.02,1452.43,0,1,4
5/31/2000,7.258834597,565.84,0,6.27,1420.6,0,0,4
6/30/2000,7.282486228,568.33,0,6.53,1454.6,0,2,4
7/31/2000,7.266009974,571.22,0,6.54,1430.83,0,0,4.1
8/31/2000,7.324938132,569.31,0,6.5,1517.68,0,3,3.9
9/30/2000,7.26997184,570.68,0,6.52,1436.51,0,0,3.9
10/31/2000,7.265010055,571.48,0,6.51,1429.4,0,4,3.9
11/30/2000,7.181553921,575,0,6.51,1314.95,0,0,3.9
12/31/2000,7.185599114,583.12,0,6.4,1320.28,0,5,4.2
1/31/2001,7.219649361,585.11,0,5.98,1366.01,0,0,4.2
2/28/2001,7.12281827,582.52,0,5.49,1239.94,0,6,4.3
3/31/2001,7.056459726,585.08,0,5.31,1160.33,0,0,4.4
4/30/2001,7.130466737,587.93,0,4.8,1249.46,0,7,4.3
5/31/2001,7.135544025,590.87,0,4.21,1255.82,0,0,4.5
6/30/2001,7.110189872,594.37,0,3.97,1224.38,0,8,4.6
7/31/2001,7.099391651,600.39,0,3.77,1211.23,0,0,4.9
8/31/2001,7.033136045,606.13,0,3.65,1133.58,0,9,5
9/30/2001,6.94787943,613.56,0,3.07,1040.94,0,0,5.3
10/31/2001,6.965816618,615.01,0,2.49,1059.78,0,10,5.5
11/30/2001,7.038300969,621.87,0,2.09,1139.45,0,0,5.7
12/31/2001,7.045846261,630.28,0,1.82,1148.08,0,11,5.7
1/31/2002,7.030149887,635.43,0,1.73,1130.2,0,0,5.7
2/28/2002,7.009165001,635.88,0,1.74,1106.73,0,12,5.7
3/31/2002,7.045245077,639.7,0,1.73,1147.39,0,0,5.9
4/30/2002,6.981860394,643.58,0,1.75,1076.92,0,13,5.8
5/31/2002,6.972737452,648.29,0,1.75,1067.14,0,0,5.8
6/30/2002,6.897523108,654.77,0,1.75,989.82,0,14,5.8
7/31/2002,6.815223237,660.96,0,1.73,911.62,0,0,5.7
8/31/2002,6.820092781,660.56,0,1.74,916.07,0,15,5.7
9/30/2002,6.703531613,662.19,0,1.75,815.28,0,0,5.7
10/31/2002,6.786446034,662.24,0,1.75,885.76,0,16,5.9
11/30/2002,6.841946618,667.44,0,1.34,936.31,0,0,6
12/31/2002,6.779717341,676.47,725800.5,1.24,879.82,13.49503046,0.000932033,5.8
1/31/2003,6.751919847,679.41,724718.4,1.24,855.7,13.49353844,0.000937481,5.9
2/28/2003,6.734770003,679.83,721326,1.26,841.15,13.48884646,0.000942473,5.9
3/31/2003,6.743092877,683.41,723651.25,1.25,848.18,13.49206486,0.000944391,6
4/30/2003,6.821020227,687.06,736926.4,1.26,916.92,13.5102433,0.000932332,6.1
5/31/2003,6.870665893,690.52,738358,1.26,963.59,13.51218408,0.00093521,6.3
6/30/2003,6.881924519,691.95,738711.75,1.22,974.5,13.51266307,0.000936698,6.2
7/31/2003,6.898018025,694.26,741656.2,1.01,990.31,13.51664107,0.000936094,6.1
8/31/2003,6.915733369,694.7,740216.5,1.03,1008.01,13.51469799,0.000938509,6.1
9/30/2003,6.903717137,697.7,743206.75,1.01,995.97,13.51872955,0.00093877,6
10/31/2003,6.957221405,700.71,747068.4,1.01,1050.71,13.52391203,0.000937946,5.8
11/30/2003,6.96432463,706.31,747801.25,1,1058.2,13.52489251,0.000944516,5.7
12/31/2003,7.01384353,716.19,759809.6,0.98,1111.92,13.54082315,0.000942591,5.7
1/31/2004,7.030972412,713.75,759938.25,1,1131.13,13.54099246,0.000939221,5.6
2/29/2004,7.043107513,713.25,753644.25,1.01,1144.94,13.53267572,0.000946401,5.8
3/31/2004,7.026613292,713.92,755538,1,1126.21,13.53518536,0.000944916,5.6
4/30/2004,7.009679899,716.78,762182,1,1107.3,13.54394065,0.000940432,5.6
5/31/2004,7.021690923,719.68,762913.75,1,1120.68,13.54490026,0.000943331,5.6
6/30/2004,7.039520112,726.44,770590,1.03,1140.84,13.55491173,0.000942706,5.5
7/31/2004,7.004627874,734.83,776094.75,1.26,1101.72,13.56202989,0.00094683,5.4
8/31/2004,7.006912595,734.62,771095.5,1.43,1104.24,13.55556751,0.000952697,5.4
9/30/2004,7.016232931,738.15,786291.4,1.6,1114.58,13.57508274,0.000938774,5.5
10/31/2004,7.030149887,740.82,788387.5,1.76,1130.2,13.577745,0.000939665,5.4
11/30/2004,7.068018667,746.58,798767.75,1.93,1173.82,13.59082551,0.000934665,5.4
12/31/2004,7.099961158,753.4,808972.6,2.16,1211.92,13.60352033,0.000931305,5.3
1/31/2005,7.07434541,750.2,807094.75,2.28,1181.27,13.60119635,0.000929507,5.4
2/28/2005,7.093072345,750.39,800556.75,2.5,1203.6,13.5930627,0.000937335,5.2
3/31/2005,7.073769593,752.08,802471.6,2.63,1180.59,13.59545174,0.000937205,5.2
4/30/2005,7.053456073,753.66,803656,2.78,1156.85,13.5969266,0.000937789,5.1
5/31/2005,7.082968297,754.18,805624,3,1191.5,13.59937241,0.000936144,5
6/30/2005,7.082825609,760,812643.2,3.04,1191.33,13.60804742,0.00093522,5
7/31/2005,7.118162061,763.85,815370,3.26,1234.18,13.61139728,0.000936814,4.9
8/31/2005,7.106876593,763.35,815141.8,3.5,1220.33,13.61111736,0.000936463,5
9/30/2005,7.1138015,767.94,820696.75,3.62,1228.81,13.61790895,0.000935717,5
10/31/2005,7.095901506,768.81,819207.25,3.78,1207.01,13.61609238,0.00093848,5
11/30/2005,7.130482744,774.62,826201.6,4,1249.48,13.62459409,0.000937568,4.9
12/31/2005,7.129529894,783.34,840054.25,4.16,1248.29,13.64122175,0.000932487,4.7
1/31/2006,7.154677855,786.82,836539,4.29,1280.08,13.63702842,0.000940566,4.8
2/28/2006,7.155130849,785.38,833804,4.49,1280.66,13.63375364,0.000941924,4.7
3/31/2006,7.166165583,788.92,838655.6,4.59,1294.87,13.63955541,0.000940696,4.7
4/30/2006,7.178247957,790.54,838093.75,4.79,1310.61,13.63888525,0.00094326,4.6
5/31/2006,7.146843043,794.31,842451.2,4.94,1270.09,13.64407102,0.000942856,4.6
6/30/2006,7.146929647,794.3,846038,4.99,1270.2,13.64831955,0.000938847,4.7
7/31/2006,7.152002572,795.92,846874,5.24,1276.66,13.6493072,0.000939833,4.7
8/31/2006,7.173053696,793.6,844411.4,5.25,1303.82,13.6463951,0.000939826,4.5
9/30/2006,7.197323072,794.47,844410.75,5.25,1335.85,13.64639433,0.000940857,4.4
10/31/2006,7.228344909,794.14,849620.75,5.25,1377.94,13.65254535,0.000934699,4.5
11/30/2006,7.244677414,800.54,858302.8,5.25,1400.63,13.66271223,0.000932701,4.4
12/31/2006,7.25721425,809.33,862756.75,5.24,1418.3,13.66788806,0.000938074,4.6
1/31/2007,7.271175423,808.85,861258.6,5.25,1438.24,13.66615009,0.000939149,4.5
2/28/2007,7.249087117,805.36,867225,5.26,1406.82,13.67305374,0.000928663,4.4
3/31/2007,7.259017601,806.34,868370.75,5.26,1420.86,13.67437403,0.000928567,4.5
4/30/2007,7.301397437,807.56,867195.25,5.25,1482.37,13.67301943,0.000931232,4.4
5/31/2007,7.333428161,809.5,875321.4,5.25,1530.62,13.68234641,0.000924803,4.6
6/30/2007,7.31545123,811.08,867222.25,5.25,1503.35,13.67305057,0.000935262,4.7
7/31/2007,7.282946729,814.65,870706,5.26,1455.27,13.67705966,0.00093562,4.6
8/31/2007,7.295728288,811.73,867258.6,5.02,1473.99,13.67309248,0.000935972,4.7
9/30/2007,7.330896572,811.9,878775.5,4.94,1526.75,13.68628474,0.000923899,4.7
10/31/2007,7.34561013,813.66,877940.6,4.76,1549.38,13.68533422,0.000926783,4.7
11/30/2007,7.300567341,819.86,886426.5,4.49,1481.14,13.69495349,0.000924905,5
12/31/2007,7.291901411,820.29,885789.75,4.24,1468.36,13.6942349,0.000926055,5
1/31/2008,7.228787501,817.37,894807.8,3.94,1378.55,13.70436423,0.000913459,4.9
2/29/2008,7.193407793,814.43,881700.25,2.98,1330.63,13.68960742,0.000923704,5.1
3/31/2008,7.187430381,816.64,890096,2.61,1322.7,13.6990846,0.000917474,5
4/30/2008,7.233881321,813.94,886510.6,2.28,1385.59,13.69504836,0.000918139,5.4
5/31/2008,7.244498907,817.69,892986,1.98,1400.38,13.70232618,0.000915681,5.6
6/30/2008,7.154615357,822.83,895391.5,2,1280,13.70501633,0.000918961,5.8
7/31/2008,7.144707056,829.95,905993.4,2.01,1267.38,13.7167873,0.000916066,6.1
8/31/2008,7.156823854,830.51,906233.75,2,1282.83,13.71705255,0.000916441,6.1
9/30/2008,7.061643067,833.94,1009474,1.81,1166.36,13.82493996,0.000826113,6.5
10/31/2008,6.876006581,849.12,1727614.6,0.97,968.75,14.36225217,0.000491499,6.8
11/30/2008,6.798208234,864.07,2145077.75,0.39,896.24,14.57868636,0.000402815,7.3
12/31/2008,6.80599937,877.88,2222737.4,0.16,903.25,14.61425006,0.000394954,7.8
1/31/2009,6.716449485,886.18,2033836.75,0.15,825.88,14.52543459,0.000435718,8.3
2/28/2009,6.599992941,894.16,1881628.5,0.22,735.09,14.44764818,0.000475205,8.7
3/31/2009,6.681945677,900.75,1984832.25,0.18,797.87,14.50104496,0.000453817,9
4/30/2009,6.771717892,903.41,2123506.2,0.15,872.81,14.56857915,0.000425433,9.4
5/31/2009,6.82343845,905.51,2134464,0.18,919.14,14.57372612,0.000424233,9.5
6/30/2009,6.823634266,907.58,2057022.5,0.21,919.32,14.53677011,0.000441211,9.5
7/31/2009,6.895156243,909.56,2022073.2,0.16,987.48,14.51963388,0.000449816,9.6
8/31/2009,6.928165565,910.77,2034911.25,0.16,1020.62,14.52596276,0.000447572,9.8
9/30/2009,6.963265669,912.97,2122220,0.15,1057.08,14.56797327,0.000430196,10
10/31/2009,6.943305804,915.32,2173382.25,0.12,1036.19,14.59179515,0.00042115,9.9
11/30/2009,6.999084819,918.24,2178795.5,0.12,1095.63,14.59428276,0.000421444,9.9
12/31/2009,7.016699366,924.31,2219218,0.12,1115.1,14.61266544,0.000416503,9.8
1/31/2010,6.979024225,921.23,2256424,0.11,1073.87,14.62929182,0.00040827,9.8
2/28/2010,7.007138969,927.21,2267424.75,0.13,1104.49,14.63415527,0.000408926,9.9
3/31/2010,7.06427173,932.54,2298183.4,0.16,1169.43,14.64762954,0.000405773,9.9
4/30/2010,7.078923198,935.05,2328737,0.2,1186.69,14.66083662,0.000401527,9.6
5/31/2010,6.993391544,937.47,2336799.5,0.2,1089.41,14.66429282,0.000401177,9.4
6/30/2010,6.938003164,941.36,2337481.8,0.18,1030.71,14.66458475,0.000402724,9.4
7/31/2010,7.004518947,944.76,2332588.5,0.18,1101.6,14.66248915,0.000405026,9.5
8/31/2010,6.955907144,946.09,2317172.25,0.19,1049.33,14.65585814,0.000408295,9.5
9/30/2010,7.039835619,951.33,2301947.8,0.19,1141.2,14.64926619,0.000413272,9.4
10/31/2010,7.07602862,960.37,2304649,0.19,1183.26,14.65043895,0.00041671,9.8
11/30/2010,7.073735711,970.89,2318469.75,0.19,1180.55,14.65641794,0.000418763,9.3
12/31/2010,7.136992228,979.39,2392691.8,0.18,1257.64,14.68792957,0.000409326,9.1
1/31/2011,7.159385213,978.91,2443221.5,0.17,1286.12,14.70882801,0.000400664,9
2/28/2011,7.190841808,987.09,2502997.25,0.16,1327.22,14.73299947,0.000394363,9
3/31/2011,7.189793957,1000.69,2585821,0.14,1325.83,14.76555362,0.000386991,9.1
4/30/2011,7.217890874,1009.37,2672712.75,0.1,1363.61,14.79860453,0.000377657,9
5/31/2011,7.20429798,1016.66,2749065,0.09,1345.2,14.82677141,0.00036982,9.1
6/30/2011,7.185871747,1023.53,2829826.4,0.09,1320.64,14.85572592,0.000361694,9
7/31/2011,7.164163379,1029.57,2870763.5,0.07,1292.28,14.87008858,0.00035864,9
8/31/2011,7.105695888,1033.04,2862173,0.1,1218.89,14.86709168,0.000360929,9
9/30/2011,7.03122876,1038.74,2857717,0.08,1131.42,14.86553361,0.000363486,8.8
10/31/2011,7.133535352,1042.13,2854649.5,0.07,1253.3,14.86445963,0.000365064,8.6
11/30/2011,7.128463868,1055.23,2825922.2,0.08,1246.96,14.85434531,0.000373411,8.5
12/31/2011,7.136960422,1066.41,2891339.75,0.07,1257.6,14.87723053,0.000368829,8.3
1/31/2012,7.179620421,1069.69,2913951.5,0.08,1312.41,14.88502062,0.000367093,8.3
2/29/2012,7.219407752,1080.2,2929930,0.1,1365.68,14.89048909,0.000368678,8.2
3/31/2012,7.250259288,1095.17,2887272.5,0.13,1408.47,14.87582284,0.00037931,8.2
4/30/2012,7.242733543,1099.98,2868677.25,0.14,1397.91,14.86936159,0.000383445,8.2
5/31/2012,7.178034293,1103.67,2856312.6,0.16,1310.33,14.86504205,0.000386397,8.2
6/30/2012,7.216826954,1108.55,2863870.5,0.16,1362.16,14.86768459,0.000387081,8.2
7/31/2012,7.229345903,1113.76,2858675.25,0.16,1379.32,14.86586888,0.000389607,8.1
8/31/2012,7.248916505,1115.87,2835816.6,0.13,1406.58,14.8578405,0.000393492,7.8
9/30/2012,7.272863562,1126.39,2817912,0.14,1440.67,14.85150674,0.000399725,7.8
10/31/2012,7.252875726,1134.62,2826231.2,0.16,1412.16,14.85445465,0.00040146,7.7
11/30/2012,7.255718385,1149.02,2857639.5,0.16,1416.18,14.86550649,0.000402087,7.9
12/31/2012,7.262761832,1156.7,2901149.5,0.16,1426.19,14.8806176,0.000398704,8
1/31/2013,7.311959593,1160.08,2966026,0.14,1498.11,14.90273357,0.000391123,7.7
2/28/2013,7.322959475,1164.58,3068737.5,0.15,1514.68,14.9367768,0.000379498,7.5
3/31/2013,7.358314842,1174.35,3170836.25,0.14,1569.19,14.96950591,0.00037036,7.6
4/30/2013,7.376239004,1178.42,3264238,0.14,1597.57,14.99853691,0.000361009,7.5
5/31/2013,7.396789179,1185.03,3355983.8,0.11,1630.74,15.02625552,0.00035311,7.5
6/30/2013,7.381676226,1189.69,3440056.75,0.09,1606.28,15.05099853,0.000345834,7.3
7/31/2013,7.429953983,1196.58,3536213.8,0.09,1685.73,15.07856716,0.000338379,7.2
8/31/2013,7.398155722,1198.8,3630451.5,0.08,1632.97,15.10486758,0.000330207,7.2
9/30/2013,7.427471266,1206.33,3693106.75,0.08,1681.55,15.1219786,0.000326644,7.2
10/31/2013,7.471101244,1213.42,3800415.6,0.09,1756.54,15.15062099,0.000319286,6.9
11/30/2013,7.498764524,1220.84,3897885.75,0.08,1805.81,15.17594485,0.000313206,6.7
12/31/2013,7.522054038,1230.29,3991804.5,0.09,1848.36,15.19975394,0.000308204,6.6
1/31/2014,7.485822642,1231.63,4064681,0.07,1782.59,15.21784582,0.000303008,6.7
2/28/2014,7.528036024,1237.53,4134488.75,0.07,1859.45,15.23487424,0.000299319,6.7
3/31/2014,7.534944264,1261.59,4200543.75,0.08,1872.34,15.25072454,0.00030034,6.2
4/30/2014,7.541125916,1270.13,4271396.8,0.09,1883.95,15.26745145,0.000297357,6.3
5/31/2014,7.561938114,1275.95,4322501.5,0.09,1923.57,15.27934484,0.000295188,6.1
6/30/2014,7.580817092,1279.38,4352084.25,0.1,1960.23,15.28616543,0.000293969,6.2
7/31/2014,7.565622372,1284.83,4395203.2,0.09,1930.67,15.29602432,0.000292326,6.1
8/31/2014,7.602586042,1287.5,4417173.5,0.09,2003.37,15.30101057,0.000291476,5.9
9/30/2014,7.586950583,1290.77,4436408.25,0.09,1972.29,15.30535565,0.000290949,5.7
10/31/2014,7.609886978,1294.04,4469678.6,0.09,2018.05,15.31282706,0.000289515,5.8
11/30/2014,7.634124447,1309.49,4488542.5,0.09,2067.56,15.3170386,0.000291741,5.6
12/31/2014,7.629927139,1326.7,4496884.8,0.12,2058.9,15.31889545,0.000295026,5.7
1/31/2015,7.598394317,1333.45,4507150.25,0.11,1994.99,15.32117564,0.000295852,5.5
2/28/2015,7.651833188,1341.26,4496402.25,0.11,2104.5,15.31878813,0.000298296,5.4
3/31/2015,7.634284043,1354.76,4488338.25,0.11,2067.89,15.31699309,0.00030184,5.4
4/30/2015,7.642768709,1359.93,4482355.6,0.12,2085.51,15.31565927,0.000303396,5.6
5/31/2015,7.653205494,1364.57,4479564,0.12,2107.39,15.31503628,0.000304621,5.3
6/30/2015,7.631969832,1366.16,4479059.25,0.13,2063.11,15.31492359,0.00030501,5.2
7/31/2015,7.651519525,1369.78,4488001.4,0.13,2103.84,15.31691804,0.000305209,5.1
8/31/2015,7.586894809,1375.05,4484473,0.14,1972.18,15.31613154,0.000306625,5
9/30/2015,7.56009609,1383.87,4484700.6,0.14,1920.03,15.3161823,0.000308576,5
10/31/2015,7.639815433,1391.43,4495400,0.12,2079.36,15.31856521,0.000309523,5.1
11/30/2015,7.640320269,1402.99,4486380.75,0.12,2080.41,15.31655687,0.000312722,5
12/31/2015,7.622634597,1415.04,4486241.6,0.24,2043.94,15.31652585,0.000315418,4.8
1/31/2016,7.570566956,1417.33,4489872.5,0.34,1940.24,15.31733486,0.000315673,4.9
2/29/2016,7.566430055,1420.98,4485799.5,0.38,1932.23,15.3164273,0.000316773,5
3/31/2016,7.63033504,1436.88,4484319.6,0.36,2059.74,15.31609734,0.000320423,5.1
4/30/2016,7.633030773,1444.64,4487148.5,0.37,2065.3,15.31672798,0.000321951,4.8
5/31/2016,7.648239187,1451,4472633.25,0.37,2096.95,15.31348789,0.000324417,4.9
6/30/2016,7.649149619,1457.51,4469248.6,0.38,2098.86,15.31273085,0.00032612,4.8
7/31/2016,7.684140058,1463.68,4472069.5,0.39,2173.6,15.31336183,0.000327294,4.9
8/31/2016,7.682920139,1464.34,4466789,0.4,2170.95,15.31218036,0.000327828,5
9/30/2016,7.681684894,1470.25,4466515.75,0.4,2168.27,15.31211919,0.000329172,4.9
10/31/2016,7.662068111,1475.81,4459703.25,0.4,2126.15,15.31059279,0.000330921,4.7
11/30/2016,7.695671584,1488.54,4454779.2,0.41,2198.81,15.30948806,0.000334145,4.7
12/31/2016,7.713708687,1499.35,4460032.75,0.54,2238.83,15.31066667,0.000336175,4.7
1/31/2017,7.731434985,1504.58,4454801.5,0.65,2278.87,15.30949306,0.000337743,4.6
2/28/2017,7.767958083,1504.65,4458373.75,0.66,2363.64,15.31029463,0.000337489,4.4
3/31/2017,7.767568777,1527.12,4467057.8,0.79,2362.72,15.31224054,0.000341863,4.5
4/30/2017,7.776618917,1539.47,4477134.5,0.9,2384.2,15.31449378,0.000343852,4.4
5/31/2017,7.788128636,1548.16,4468515.8,0.91,2411.8,15.31256688,0.00034646,4.3
6/30/2017,7.792930918,1555.21,4469079,1.04,2423.41,15.31269291,0.000347993,4.3
7/31/2017,7.81209488,1562.59,4469040.25,1.15,2470.3,15.31268423,0.000349648,4.4
8/31/2017,7.812641223,1565.29,4462999.4,1.16,2471.65,15.31133161,0.000350726,4.2
9/30/2017,7.83176018,1578.3,4459721.25,1.15,2519.36,15.31059682,0.000353901,4.1
10/31/2017,7.853705779,1583.26,4462669.25,1.15,2575.26,15.31125763,0.000354779,4.2
11/30/2017,7.881401294,1592.13,4450387,1.16,2647.58,15.30850162,0.000357751,4.1
12/31/2017,7.891184898,1604.54,4446506,1.3,2673.61,15.30762918,0.000360854,4
1/31/2018,7.945842316,1611.34,4437893.4,1.41,2823.81,15.30569036,0.000363087,4.1
2/28/2018,7.9061162,1616.28,4415167.25,1.42,2713.83,15.30055627,0.000366074,4
3/31/2018,7.878863687,1633.04,4399193.75,1.51,2640.87,15.29693184,0.000371213,4
4/30/2018,7.881578799,1639.95,4382144.25,1.69,2648.05,15.29304872,0.000374235,3.8
5/31/2018,7.902957001,1650.88,4343353,1.7,2705.27,15.28415719,0.000380093,4
6/30/2018,7.907787715,1661.27,4316371,1.82,2718.37,15.27792556,0.000384877,3.8
7/31/2018,7.943175695,1669.06,4287565.25,1.91,2816.29,15.27122959,0.000389279,3.8
8/31/2018,7.972990017,1671.61,4238067.8,1.91,2901.52,15.25961802,0.000394427,3.7
9/30/2018,7.977275123,1685.51,4205069,1.95,2913.98,15.25180126,0.000400828,3.8
10/31/2018,7.905345774,1690.13,4167971.4,2.19,2711.74,15.24294,0.000405504,3.8
11/30/2018,7.923047551,1701.6,4122799,2.2,2760.17,15.23204286,0.000412729,3.9
12/31/2018,7.826782264,1706.89,4083567,2.27,2506.85,15.22248143,0.00041799,4
1/31/2019,7.902524419,1709.73,4050343,2.4,2704.1,15.21431213,0.00042212,3.8
2/28/2019,7.931820012,1707.78,4002697.75,2.4,2784.49,15.20247913,0.000426657,3.8
3/31/2019,7.949585554,1719.26,3964764.5,2.41,2834.4,15.19295702,0.000433635,3.7
4/30/2019,7.98814589,1726.41,3933098.25,2.42,2945.83,15.18493803,0.000438944,3.7
5/31/2019,7.920105001,1732.23,3871707,2.39,2752.06,15.16920605,0.000447407,3.6
6/30/2019,7.986763321,1737.76,3842108.25,2.38,2941.76,15.1615318,0.000452293,3.6
7/31/2019,7.999806088,1746.9,3803776.8,2.4,2980.38,15.15150503,0.000459254,3.7
8/31/2019,7.98154878,1749.12,3773093.25,2.13,2926.46,15.14340571,0.000463577,3.5
9/30/2019,7.998489954,1762.66,3808397.75,2.04,2976.46,15.15271912,0.000462835,3.6
10/31/2019,8.018809841,1769.48,3970156,1.83,3037.56,15.19431595,0.000445695,3.6
11/30/2019,8.052290132,1785.6,4042612.25,1.55,3140.98,15.21240164,0.000441695,3.6
12/31/2019,8.080478873,1794.26,4115957.5,1.55,3230.78,15.23038205,0.000435928,3.5
1/31/2020,8.078849457,1798.98,4159312.4,1.55,3225.52,15.24086033,0.000432519,3.5
2/29/2020,7.990989936,1795.98,4169900.75,1.58,2954.22,15.24340279,0.000430701,4.4
3/31/2020,7.857322167,1826.08,4618977,0.65,2584.59,15.34568381,0.000395343,14.8
4/30/2020,7.976743063,1887.38,6298340,0.05,2912.43,15.65579666,0.000299663,13.3
5/31/2020,8.021029553,1929.73,6947555.25,0.05,3044.31,15.75390039,0.000277757,11.1
6/30/2020,8.039250934,1955.37,7127786.25,0.08,3100.29,15.77951126,0.000274331,10.2
7/31/2020,8.092887713,1978.27,6960429.4,0.09,3271.12,15.75575173,0.000284217,8.4
8/31/2020,8.160606815,2004.52,6975892.25,0.1,3500.31,15.7579708,0.00028735,7.8
9/30/2020,8.120588712,2026.25,7048374.2,0.09,3363,15.76830754,0.000287478,6.9
10/31/2020,8.092533031,2040.2,7137411.5,0.09,3269.96,15.78086073,0.000285846,6.7
11/30/2020,8.19467948,2055.63,7198114,0.09,3621.63,15.78932961,0.000285579,6.7
12/31/2020,8.231128477,2070.53,7319010.8,0.09,3756.07,15.80598574,0.000282898,6.3
1/31/2021,8.21992936,2093.53,7372161.25,0.09,3714.24,15.81322147,0.000283978,6.2
2/28/2021,8.24568626,2100.22,7500084,0.08,3811.15,15.83042478,0.000280026,6
3/31/2021,8.287249069,2115.28,7647908.2,0.07,3972.89,15.84994273,0.000276583,6.1
4/30/2021,8.338346391,2154.82,7775974,0.07,4181.17,15.86654928,0.000277113,5.8
5/31/2021,8.343817897,2167.93,7866893.25,0.06,4204.11,15.87817378,0.000275576,5.9
6/30/2021,8.365788737,2178.84,8026555.2,0.08,4297.5,15.898266,0.000271454,5.4
7/31/2021,8.388281967,2186.13,8190356.75,0.1,4395.26,15.91846801,0.000266915,5.2
8/31/2021,8.416860017,2187.63,8291893.25,0.09,4522.68,15.93078888,0.000263828,4.8
9/30/2021,8.368122254,2194.9,8418612.4,0.08,4307.54,15.94595557,0.00026072,4.6
10/31/2021,8.434980464,2202.51,8516524.5,0.08,4605.38,15.95751889,0.000258616,4.2
